name,price,description,imageUrl,category
Gạo ST25,25000,Gạo thơm đặc sản An Giang chất lượng cao,picture/gao.png,Lúa gạo
Cà chua bi,15000,Cà chua bi tươi ngon từ Đà Lạt,picture/ca-chua-bi.png,Rau củ
Xoài cát Hòa Lộc,45000,Xoài cát Hòa Lộc Tiền Giang ngọt thơm,picture/xoai-hl.png,Trái cây
Cà phê Arabica,180000,Cà phê Arabica nguyên chất Đắk Lắk,picture/ca-phe-arabica.jpg,Thực phẩm khô
Dưa hấu không hạt,12000,Dưa hấu không hạt tươi mát,picture/dua-hau-khong-hat.png,Trái cây
Rau muống,8000,Rau muống tươi xanh sạch,picture/rau-muong.png,Rau lá
Bưởi da xanh,35000,Bưởi da xanh Bến Tre ngọt mát,picture/buoi-da-xanh.jpg,Trái cây
Cải thảo,18000,Cải thảo tươi Đà Lạt,picture/cai-thao.jpg,Rau củ
Chôm chôm,28000,Chôm chôm Bến Tre ngọt thơm,picture/chom-chom.jpg,Trái cây
Hành tây,22000,Hành tây tím Lý Sơn,picture/hanh-tay.jpg,Rau củ
Táo Fuji,65000,Táo Fuji nhập khẩu tươi ngon,picture/tao-fuji.jpg,Trái cây
Khoai lang,12000,Khoai lang Nhật Bản ngọt bùi,picture/khoai-lang.jpg,Rau củ
Dứa Cây,15000,Dứa cây Hậu Giang ngọt mát,picture/dua-cay.jpg,Trái cây
Bắp cải,20000,Bắp cải tươi Đà Lạt,picture/bap-cai.jpg,Rau củ
Ớt chuông,35000,Ớt chuông đỏ Đà Lạt,picture/ot-chuong.jpg,Rau củ
Chuối tiêu,18000,Chuối tiêu Đồng Nai chín vàng,picture/chuoi-tieu.jpg,Trái cây
Cam sành,30000,Cam sành Hà Giang ngọt thanh,picture/cam-sanh.jpg,Trái cây
Rau bina,15000,Rau bina organic tươi xanh,picture/rau-bina.jpg,Rau lá
Su hào,25000,Su hào tươi Đà Lạt giòn ngọt,picture/su-hao.jpg,Rau củ
Măng cụt,45000,Măng cụt Cần Thơ thơm ngọt,picture/mang-cut.jpg,Trái cây
Đu đủ,20000,Đu đủ xanh làm gỏi,picture/du-du.jpg,Trái cây
Nấm hương,55000,Nấm hương tươi Đà Lạt,picture/nam-huong.jpg,Nấm
Lê Hàn Quốc,70000,Lê Hàn Quốc ngọt mát,picture/le-han-quoc.jpg,Trái cây
Đậu bắp,25000,Đậu bắp non Đà Lạt,picture/dau-bap.jpg,Rau củ
Vải thiều,40000,Vải thiều Bắc Giang ngọt thơm,picture/vai-thieu.jpg,Trái cây
Khoai tây,18000,Khoai tây Đà Lạt to đều,picture/khoai-tay.jpg,Rau củ
Nhãn long,35000,Nhãn long Hưng Yên ngọt dịu,picture/nhan-long.jpg,Trái cây
Bí đỏ,12000,Bí đỏ Đà Lạt bùi ngọt,picture/bi-do.jpg,Rau củ
Sầu riêng,120000,Sầu riêng Monthong Đắk Lắk,picture/sau-rieng.jpg,Trái cây
Nho xanh,85000,Nho xanh không hạt Ninh Thuận,picture/nho-xanh.jpg,Trái cây
Cà tím,22000,Cà tím tròn Đà Lạt,picture/ca-tim.jpg,Rau củ
Táo gala,60000,Táo gala đỏ tươi ngon,picture/tao-gala.jpg,Trái cây
Bí ngồi,15000,Bí ngồi xanh Đà Lạt,picture/bi-ngoi.jpg,Rau củ
Chà là,55000,Chà là Iran khô ngọt,picture/cha-la.jpg,Trái cây khô
Cần tây,30000,Cần tây Đà Lạt thơm mát,picture/can-tay.jpg,Rau lá
Nho đỏ,95000,Nho đỏ có hạt Phan Rang,picture/nho-do.jpg,Trái cây
Củ dền,8000,Củ dền đỏ bổ dưỡng,picture/cu-den.jpg,Rau củ
Thanh long,25000,Thanh long ruột đỏ Bình Thuận,picture/thanh-long.jpg,Trái cây
Rau dền,12000,Rau dền đỏ giàu sắt,picture/rau-den.jpg,Rau lá
Chanh dây,35000,Chanh dây tím thơm chua,picture/chanh-day.jpg,Trái cây
Súp lơ,28000,Súp lơ trắng Đà Lạt,picture/sup-lo.jpg,Rau củ
Mít thái,30000,Mít thái ngọt thơm,picture/mit-thai.jpg,Trái cây
Ớt hiểm,45000,Ớt hiểm Tây Ninh cay nồng,picture/ot-hiem.png,Gia vị
Mận tím,50000,Mận tím Sapa chua ngọt,picture/man-tim.jpg,Trái cây
Đậu cove,35000,Đậu cove xanh giòn,picture/dau-cove.jpg,Rau củ
Roi thái,25000,Roi thái ngọt mát,picture/roi-thai.jpg,Trái cây
Cải bẹ xanh,18000,Cải bẹ xanh tươi mướt,picture/cai-be-xanh.jpg,Rau lá
Quýt ngọt,28000,Quýt ngọt Hòa Bình,picture/quyt-ngot.jpg,Trái cây
Mướp khía,20000,Mướp khía tươi xanh,picture/muop-khia.jpg,Rau củ
Sapoche,40000,Sapoche ngọt bùi,picture/sapoche.jpg,Trái cây
Rau thơm,15000,Rau thơm tổng hợp,picture/rau-thom.jpg,Rau lá
